er,fr
I would like you to come with me.,J'ai envie que tu viennes avec moi.
There is a piece of good news for you.,Il y a une bonne nouvelle pour vous.
There is a piece of good news for you.,Il y a une bonne nouvelle pour toi.
You are in part responsible for it.,Tu en es en partie responsable.
You are in part responsible for it.,Vous en êtes en partie responsable.
You are in part responsible for it.,Vous en êtes en partie responsables.
You ought to have seen it.,Tu aurais dû le voir.
You ought to have seen it.,Vous auriez dû le voir.
I want you to work harder.,Je veux que vous travailliez davantage.
I want to see you again.,Je veux te revoir.
I'm leaving it to you.,Je te le laisse.
I'm leaving it to you.,Je vous laisse ça.
You have a bright future.,Tu as un brillant avenir.
You have a bright future.,Vous avez un brillant avenir.
He couldn't be good for you.,Il ne saurait être bon pour toi.
You have no cause for anger.,Tu n'as pas de raison de t'énerver.
You have no cause for anger.,Vous n'avez pas de motif de vous mettre en colère.
What seems simple to you seems complex to me.,Ce qui vous paraît simple m'apparaît compliqué.
What seems simple to you seems complex to me.,Ce qui t'apparaît simple me paraît compliqué.
I take my hat off to you.,Je te tire mon chapeau.
I take my hat off to you.,Je vous tire mon chapeau.
You have as much right as everyone else.,Tu en as autant le droit que n'importe qui d'autre.
You have a tendency to talk too fast.,Tu as tendance à parler trop vite.
You have a tendency to talk too fast.,Vous avez tendance à parler trop rapidement.
Life lies in front of you.,La vie s'étend devant toi.
Life lies in front of you.,La vie s'étend devant vous.
Don't you have a sense of justice?,N'avez-vous donc pas le sens de l'équité ?
Don't you have a sense of justice?,N'as-tu donc pas le sens de la justice ?
I expect you to be punctual.,Je m'attends à ce que tu sois ponctuel.
You got me!,Tu m'as eu !
You got me!,Vous m'avez eu !
Can't you understand the pain of your parents?,Ne pouvez-vous comprendre la douleur de vos parents ?
Can't you understand the pain of your parents?,Ne peux-tu comprendre la douleur de tes parents ?
There is nothing wrong with you.,Il n'y a rien de mal avec toi.
You have a gift for music.,Tu as un talent musical.
I can't lie to you.,Je ne puis vous mentir.
You have the advantage of a good education.,Tu as l'avantage d'une bonne éducation.
You have the advantage of a good education.,Vous avez l'avantage d'une bonne éducation.
I expect you to work harder.,Je m'attends à ce que tu travailles plus fort.
I expect you to work harder.,J'attends de toi que tu travailles plus dur.
There are few high-ranking positions left open for you.,Il y a quelques postes de haut niveau disponibles pour vous.
You are entitled to try once again.,Tu as le droit d'essayer une nouvelle fois.
You are hopeless.,Tu es impossible.
I expect you know all about it.,J'espère que tu sais tout à ce propos.
I expect you know all about it.,J'espère que vous n'ignorez rien à ce sujet.
You deserve the prize.,Tu mérites le prix.
You deserve the prize.,Vous méritez le prix.
I blush for you.,Je rougis pour toi.
Green suits you.,Le vert te va bien.
Green suits you.,Le vert vous sied bien.
I am disgusted with you.,Je suis dégoûté de toi.
I can't thank you enough.,Je ne pourrais jamais assez vous remercier.
I can't thank you enough.,Je ne te remercierais jamais assez.
You have no right to oppose our plan.,Vous n'avez pas le droit de vous opposer à nos plans.
All you can do is to wait.,"Tout ce que tu peux faire, c'est attendre."
I can't keep up with you.,Je ne peux pas te suivre.
I'd like to talk with you in private.,Je veux te parler en privé.
I have a very sore arm where you hit me.,"J'ai très mal au bras, là où tu m'as frappé."
I have a very sore arm where you hit me.,"J'ai très mal au bras, là où tu m'as frappée."
I have a very sore arm where you hit me.,"J'ai très mal au bras, là où vous m'avez frappé."
I have a very sore arm where you hit me.,"J'ai très mal au bras, là où vous m'avez frappée."
How can you say that?,Comment peux-tu dire ça ?
How can you say that?,Comment pouvez-vous dire cela ?
You should have seen it.,Tu aurais dû le voir.
You should have seen it.,Tu aurais dû la voir.
You should have seen it.,Vous auriez dû le voir.
You should have seen it.,Vous auriez dû la voir.
I hope you have brains enough to see the difference.,J'espère que tu as assez de jugeotte pour voir la différence.
I hope you have brains enough to see the difference.,J'espère que vous avez assez de cervelle pour voir la différence.
Didn't I tell you so?,Ne te l'avais-je pas dit ?
Didn't I tell you so?,Ne vous l'avais-je pas dit ?
I'm anxious to see you.,Je suis impatient de te voir.
I'm anxious to see you.,Je suis impatient de vous voir.
You shall have a reward.,Tu devrais être récompensé.
I'll lend you this book.,Je te prêterai ce livre.
I'll give you this pendant.,Je te donnerai ce pendentif.
I'll give you this money.,Je te donnerai cet argent.
I'll give you this money.,Je vous donnerai cet argent.
Never did I dream of meeting you here.,Jamais je n'aurais imaginé te rencontrer ici.
Never did I dream of meeting you here.,Jamais je n'aurais pensé te rencontrer ici.
Let me give you some advice.,Laisse-moi te donner un conseil.
I'll treat you.,Je t'inviterai.
I'll treat you.,Ce sera pour moi.
I have a nice present to give you.,J'ai un joli cadeau pour toi.
Can you do that?,Peux-tu faire ça ?
Can you do that?,Pouvez-vous faire cela ?
I owe you ten dollars.,Je te dois dix dollars.
A thousand yen is owed to you.,On vous doit mille yens.
A thousand yen is owed to you.,Vous sont dus mille yens.
Do your work in your own way.,Fais ton travail à ta manière.
You can make it! Go for it. I'll stand by you.,Tu peux le faire ! Vas-y. Je serai avec toi.
You can make it! Go for it. I'll stand by you.,Vous pouvez le faire ! Allez-y. Je serai avec vous.
You deserve to succeed.,Vous méritez de réussir.
You could get into the Guinness Book of World Records as the heaviest drinker.,Tu pourrais être inscrit dans le livre Guinness des Records du Monde comme le plus grand buveur d'alcool.
I can't think of life without you.,Je ne peux pas penser à la vie sans toi.
It's not the time but the will that you lack.,Ce n'est pas de temps que tu manques mais de volonté.
I have no more time to talk with you.,Je n'ai plus de temps pour parler avec toi.
You and I are good friends.,Toi et moi sommes bons amis.
You and I are good friends.,Vous et moi sommes bons amis.
You and I are the same age.,Toi et moi sommes du même âge.
You and I are the same age.,Vous et moi sommes du même âge.
I am not excited any more than you are.,Je ne suis pas plus excité que toi.
I share your idea.,Je partage la même idée que toi.
I bought the same shirt as yours.,J'ai acheté la même chemise que toi.
He is no more a fool than you are.,Il n'est pas plus stupide que toi.
You and I are very good friends.,Nous sommes de bons amis.
There is a fundamental difference between your opinion and mine.,Il y a une différence fondamentale entre ton opinion et la mienne.
There is a fundamental difference between your opinion and mine.,Il y a une différence fondamentale entre votre opinion et la mienne.
Either you or I have to go there.,Soit toi soit moi doit y aller.
It is hard to distinguish you from your brother.,Il est difficile de te distinguer de ton frère.
I feel relaxed with you.,Je me sens détendu avec toi.
I feel relaxed with you.,Je me sens détendu avec vous.
I'll take my chances with you.,Je vais tenter ma chance avec toi.
"I'd love to go with you to the show, but I'm flat broke.","J'adorerais aller avec toi à la revue, mais je suis complètement fauché."
I'd like to go to the seaside with you.,J'aimerais aller à la mer avec toi.
I wish I could go to the party with you.,Je voudrais pouvoir aller à la fête avec toi.
It is a great pleasure being with you.,C'est un grand plaisir d’être avec toi.
It pains me to disagree with your opinion.,Ça me fait mal d'être en désaccord avec ton opinion.
It pains me to disagree with your opinion.,Je suis au regret de ne pas être d'accord avec ton opinion.
It pains me to disagree with your opinion.,Je suis au regret de ne pas être d'accord avec votre opinion.
I'm leaving you tomorrow.,Je te quitte demain.
I often think about the place where I met you.,Je pense souvent au lieu où je t'ai rencontré.
I often think about the place where I met you.,Je pense souvent au lieu où je t'ai rencontrée.
I would like to go to the concert with you.,J'aimerais aller à un concert avec toi.
He'll be sure to smell a rat if I'm with you.,Il aura sûrement la puce à l'oreille si je suis avec toi.
I would prefer to speak to you in private.,Je préfèrerais m'entretenir avec vous en privé.
I would prefer to speak to you in private.,Je préfèrerais te parler en privé.
You really are hopeless.,Tu es vraiment désespérant.
You really are hopeless.,Vous êtes vraiment désespérant.
You really are hopeless.,Vous êtes vraiment désespérants.
You two are the nucleus of the team.,Vous êtes tous les deux le noyau de l'équipe.
I'll get something to drink for both of you.,Je vais vous chercher une boisson.
I don't like both of you going to such a place.,Ça ne me plaît pas que vous alliez tous les deux dans un tel endroit.
There is enough bread for all of you.,Il y a suffisamment de pain pour vous tous.
Divide the cake among you three.,Partagez le gâteau entre vous trois.
How old will you be next year?,Quel âge aurez-vous l'an prochain ?
How old will you be next year?,Quel âge auras-tu l'année prochaine ?
You had better not start until they arrive.,Tu ferais mieux de ne pas commencer avant qu'ils n'arrivent.
You should pay attention to his story.,Tu devrais prêter attention à son histoire.
You should pay attention to his story.,Vous devriez prêter attention à son histoire.
You must not smoke till you grow up.,Tu ne dois pas fumer avant d'avoir grandi.
What are you learning from the teacher?,Qu'apprends-tu de ton professeur ?
You are young boys.,Vous êtes des jeunes garçons.
You belong to the next generation.,Tu appartiens à la génération suivante.
